no,ponpes,text_combined,sentimen_lexicon,aspek_manual
73,PPM AL-Ikhlash Lampoko,selamat nak saleh saleha selamat sukses santri santri wati telah raih juara festival anak sholeh sholehah antar smp mts se polewali mandar uptd sman wonomulyo,Positif,Akademik
74,PPM AL-Ikhlash Lampoko,sukses buat nanda dua final pilih duta ajar sulawesi barat tahun,Negatif,Fasilitas
75,PPM AL-Ikhlash Lampoko,sukses selalu ki nak moga capai hasil lbh baik doa mama selalu serta nak final pilih duta ajar sulawesi barat tahun,Negatif,Fasilitas
76,PPM AL-Ikhlash Lampoko,amin nak moga mudah semua cita cita final pilih duta ajar sulawesi barat tahun,Negatif,Fasilitas
77,PPM AL-Ikhlash Lampoko, final pilih duta ajar sulawesi barat tahun,Negatif,Fasilitas
78,PPM AL-Ikhlash Lampoko,sukseski semua anakq aamiin final pilih duta ajar sulawesi barat tahun,Negatif,Fasilitas
79,PPM AL-Ikhlash Lampoko,masyaalllah sukses nak sholeh sholeha final pilih duta ajar sulawesi barat tahun,Negatif,Fasilitas
80,PPM AL-Ikhlash Lampoko,sukses buat ananda dua final pilih duta ajar sulawesi barat tahun,Negatif,Fasilitas
81,PPM AL-Ikhlash Lampoko,moga mudah aamiin final pilih duta ajar sulawesi barat tahun,Negatif,Fasilitas
82,PPM AL-Ikhlash Lampoko,sukses selalu final pilih duta ajar sulawesi barat tahun,Negatif,Fasilitas
83,PPM AL-Ikhlash Lampoko,rifqa tanding pencak silat antar putri live,Positif,Kualitas Guru
84,PPM AL-Ikhlash Lampoko,rifqa nonton tanding pencak silat antar putri live,Positif,Kualitas Guru
85,PPM AL-Ikhlash Lampoko,ibu nonton nak tanding pencak silat antar putri live,Positif,Kualitas Guru
86,PPM AL-Ikhlash Lampoko,liat ka nak tanding pencak silat antar putri live,Positif,Kualitas Guru
87,PPM AL-Ikhlash Lampoko,kamera ki dlu tanding pencak silat antar putri live,Positif,Kualitas Guru
88,PPM AL-Ikhlash Lampoko,tdk ku jemput ki besok kalau tdk mau tanding pencak silat antar putri live,Positif,Kualitas Guru
89,PPM AL-Ikhlash Lampoko, tanding pencak silat antar putri live,Positif,Kualitas Guru
90,PPM AL-Ikhlash Lampoko,tdk ikut titah ramadhani tutu tanding tanding pencak silat antar putri live,Positif,Kualitas Guru
91,PPM AL-Ikhlash Lampoko,nak nnti ku bagi tanding pencak silat antar putri live,Positif,Kualitas Guru
92,PPM AL-Ikhlash Lampoko,tdk ikut tanding titah ramadhani tutu tanding pencak silat antar putri live,Positif,Kualitas Guru
93,PPM AL-Ikhlash Lampoko,ikut santri laki nak tanding pencak silat antar putri live,Positif,Kualitas Guru
94,PPM AL-Ikhlash Lampoko,halo rifqa tanding pencak silat antar putri live,Positif,Kualitas Guru
95,PPM AL-Ikhlash Lampoko,salsabila mariaya al tsar tanding tanding pencak silat antar putri live,Positif,Kualitas Guru
96,PPM AL-Ikhlash Lampoko,kalau nur khalish sdh ikut tanding nak kelas x tanding pencak silat antar putri live,Netral,Kualitas Guru
97,PPM AL-Ikhlash Lampoko,titah klas x tanding pencak silat antar putri live,Positif,Kualitas Guru
98,PPM AL-Ikhlash Lampoko,titah ramadhani tutu tanding pencak silat antar putri live,Positif,Kualitas Guru
99,PPM AL-Ikhlash Lampoko,semangat mudah juara tanding pencak silat antar putri live,Positif,Kualitas Guru
100,PPM AL-Ikhlash Lampoko,muhammad nur khalis kelas tanding pencak silat antar putri live,Positif,Kualitas Guru
101,PPM AL-Ikhlash Lampoko,obat jgn lupa minum tanding pencak silat antar putri live,Negatif,Kualitas Guru
102,PPM AL-Ikhlash Lampoko,salam kangen buat aqila zahra tanding pencak silat antar putri live,Positif,Kualitas Guru
103,PPM AL-Ikhlash Lampoko,ma syaa allah semangat santri ppm al ikhlas tanding pencak silat antar putri live,Positif,Kualitas Guru
104,PPM AL-Ikhlash Lampoko,ustadz waspada situ dik tanding pencak silat antar putri live,Positif,Kualitas Guru
105,PPM AL-Ikhlash Lampoko,coba ksih liat dlu rifqa nak mau liat bpkx bru tiba dr mamuju rindu tanding pencak silat antar putri live,Negatif,Kualitas Guru
106,PPM AL-Ikhlash Lampoko,main turnamen santriwannya dik tanding pencak silat antar putri live,Positif,Kualitas Guru
107,PPM AL-Ikhlash Lampoko,spill bicara dongg tanding pencak silat antar putri live,Positif,Kualitas Guru
108,PPM AL-Ikhlash Lampoko,up tanding pencak silat antar putri live,Positif,Kualitas Guru
109,PPM AL-Ikhlash Lampoko,up tanding pencak silat antar putri live,Positif,Kualitas Guru
110,PPM AL-Ikhlash Lampoko,salam ustadz waspada dik teman pas angkat tanding pencak silat antar putri live,Positif,Kualitas Guru
111,PPM AL-Ikhlash Lampoko,tingkat apa tanding pencak silat antar putri live,Positif,Kualitas Guru
112,PPM AL-Ikhlash Lampoko,iye masuk mki nak tanding pencak silat antar putri live,Positif,Kualitas Guru
113,PPM AL-Ikhlash Lampoko,semangatq anak soleha xd jaga sehat tanding pencak silat antar putri live,Positif,Kualitas Guru
114,PPM AL-Ikhlash Lampoko,tau sekali suara pak aslam tanding pencak silat antar putri live,Negatif,Kualitas Guru
115,PPM AL-Ikhlash Lampoko,mi tanding syafira liana tanding pencak silat antar putri live,Positif,Kualitas Guru
116,PPM AL-Ikhlash Lampoko,semangat fira tanding pencak silat antar putri live,Positif,Kualitas Guru
117,PPM AL-Ikhlash Lampoko,aqila zahra sdah tanding tanding pencak silat antar putri live,Positif,Kualitas Guru
118,PPM AL-Ikhlash Lampoko,alhamdulillah tanding pencak silat antar putri live,Positif,Kualitas Guru
119,PPM AL-Ikhlash Lampoko,kpn pi tanding syafira tanding pencak silat antar putri live,Positif,Kualitas Guru
120,PPM AL-Ikhlash Lampoko,pulang bunda ajak makan burger nah tanding pencak silat antar putri live,Netral,Kualitas Guru
121,PPM AL-Ikhlash Lampoko,bapak tanding pencak silat antar putri live,Positif,Kualitas Guru
122,PPM AL-Ikhlash Lampoko,mana aura tanding pencak silat antar putri live,Positif,Kualitas Guru
123,PPM AL-Ikhlash Lampoko,tgl sama pulang santri putra tanding pencak silat antar putri live,Positif,Kualitas Guru
124,PPM AL-Ikhlash Lampoko,salam sama ustadz zaid tanding pencak silat antar putri live,Positif,Kualitas Guru
125,PPM AL-Ikhlash Lampoko,kakak semangat tanding pencak silat antar putri live,Positif,Kualitas Guru
126,PPM AL-Ikhlash Lampoko,moga besok menang tanding pencak silat antar putri live,Positif,Kualitas Guru
127,PPM AL-Ikhlash Lampoko,foto dulu admin anak anak baru kirim messenger tanding pencak silat antar putri live,Positif,Kualitas Guru
128,PPM AL-Ikhlash Lampoko,aqila zahra tanding pencak silat antar putri live,Positif,Kualitas Guru
129,PPM AL-Ikhlash Lampoko,bismillah nak tanding pencak silat antar putri live,Positif,Kualitas Guru
130,PPM AL-Ikhlash Lampoko,siapa tanding tanding pencak silat antar putri live,Positif,Kualitas Guru
131,PPM AL-Ikhlash Lampoko,siapa menang ustadz tanding pencak silat antar putri live,Positif,Kualitas Guru
132,PPM AL-Ikhlash Lampoko,mantap kk aqila zahra menang tanding pencak silat antar putri live,Positif,Kualitas Guru
133,PPM AL-Ikhlash Lampoko,anna ki tanding nah tanding pencak silat antar putri live,Positif,Kualitas Guru
134,PPM AL-Ikhlash Lampoko,kakak tanding pencak silat antar putri live,Positif,Kualitas Guru
135,PPM AL-Ikhlash Lampoko,selesaimi tanding pencak silat antar putri live,Positif,Kualitas Guru
136,PPM AL-Ikhlash Lampoko,kakak msih tanding besok arti tanding pencak silat antar putri live,Positif,Kualitas Guru
137,PPM AL-Ikhlash Lampoko,iya nak semngat terus kalah menang tdk masalah penting alam nya tanding pencak silat antar putri live,Negatif,Kualitas Guru
138,PPM AL-Ikhlash Lampoko,semangat xd jgan lupa jga sehat xd mnta vitamin sm bule tanding pencak silat antar putri live,Netral,Kualitas Guru
139,PPM AL-Ikhlash Lampoko,dpn kamera ki dulu e mau screenshot i tanding pencak silat antar putri live,Positif,Kualitas Guru
140,PPM AL-Ikhlash Lampoko,kakak bunda mau ss tanding pencak silat antar putri live,Negatif,Kualitas Guru
141,PPM AL-Ikhlash Lampoko,kakak tanding pencak silat antar putri live,Positif,Kualitas Guru
142,PPM AL-Ikhlash Lampoko,hahah mi tanding pencak silat antar putri live,Positif,Kualitas Guru
143,PPM AL-Ikhlash Lampoko,sdahmi tanding pencak silat antar putri live,Positif,Kualitas Guru
144,PPM AL-Ikhlash Lampoko,jam brp besok tanding tanding pencak silat antar putri live,Positif,Kualitas Guru
145,PPM AL-Ikhlash Lampoko,jam brp besok tanding pencak silat antar putri live,Positif,Kualitas Guru
146,PPM AL-Ikhlash Lampoko,okk tanding pencak silat antar putri live,Positif,Kualitas Guru
147,PPM AL-Ikhlash Lampoko,setia nonton mahasiswa kkn asrama tanding pencak silat antar putri live,Positif,Kualitas Guru
148,PPM AL-Ikhlash Lampoko,nnti libur sparing ki drmh na anna tanding pencak silat antar putri live,Positif,Kualitas Guru
149,PPM AL-Ikhlash Lampoko,yaa ajar ki lebih baik tanding pencak silat antar putri live,Positif,Kualitas Guru
150,PPM AL-Ikhlash Lampoko,kakak nelp nah tanding pencak silat antar putri live,Positif,Kualitas Guru
151,PPM AL-Ikhlash Lampoko, tanding pencak silat antar putri live,Positif,Kualitas Guru
152,PPM AL-Ikhlash Lampoko, tanding pencak silat antar putri live,Positif,Kualitas Guru
153,PPM AL-Ikhlash Lampoko,heeee tanding pencak silat antar putri live,Positif,Kualitas Guru
154,PPM AL-Ikhlash Lampoko,kodong tdk plg ahahah tanding pencak silat antar putri live,Positif,Kualitas Guru
155,PPM AL-Ikhlash Lampoko,moga semua lebih baik bisa bangga orangtua pondok tanding pencak silat antar putri live,Positif,Kualitas Guru
156,PPM AL-Ikhlash Lampoko,sudahmako gah tanding pencak silat antar putri live,Positif,Kualitas Guru
157,PPM AL-Ikhlash Lampoko,si comel al fikri pura pura sakit,Negatif,Motivasi/Spiritual
158,PPM AL-Ikhlash Lampoko,pps nabilang anak santri paham pura pura sakit,Negatif,Motivasi/Spiritual
159,PPM AL-Ikhlash Lampoko,hahahahha jdi ingat wktu pondok pura pura sakit,Negatif,Motivasi/Spiritual
160,PPM AL-Ikhlash Lampoko,fildzah say na konten santri,Positif,Akademik
161,PPM AL-Ikhlash Lampoko,sehat sehat semua ananda konten santri,Negatif,Kegiatan Pondok
162,PPM AL-Ikhlash Lampoko, konten santri,Netral,Akademik
163,PPM AL-Ikhlash Lampoko,masya allah anak soleha konten santri,Positif,Kegiatan Pondok
164,PPM AL-Ikhlash Lampoko,masya allah santri ku konten santri,Positif,Kegiatan Pondok
165,PPM AL-Ikhlash Lampoko,ank sholeh hebat konten santri,Netral,Akademik
166,PPM AL-Ikhlash Lampoko, konten santri,Netral,Akademik
167,PPM AL-Ikhlash Lampoko,masyaallah konten santri,Netral,Akademik
168,PPM AL-Ikhlash Lampoko,izwan fattah fildza konten santri,Netral,Akademik
169,PPM AL-Ikhlash Lampoko,moga allah selalu lindung nak lama pondok tetap sabar ayah ibu selalu doa sayang rasa masuk pondok jadi aku tau,Negatif,Kegiatan Pondok
170,PPM AL-Ikhlash Lampoko,masya allah sehat sllu anak sholeh rasa masuk pondok jadi aku tau,Negatif,Kegiatan Pondok
171,PPM AL-Ikhlash Lampoko,tetap istiqomah nak kejar akhirat i insyaallah dunia ikut xd rasa masuk pondok jadi aku tau,Negatif,Kegiatan Pondok
172,PPM AL-Ikhlash Lampoko,sy orang tua siswa pondok pesantren al ikhlas lampoko ikut terus giat santri santri ucap sehat sehat sllu putra putri ank sholeh sholehah pesan santri keluarga ada rumah,Negatif,Kegiatan Pondok
173,PPM AL-Ikhlash Lampoko,sehat sehatki nak dsna moga selalu sehat pesan santri keluarga ada rumah,Negatif,Kualitas Guru
174,PPM AL-Ikhlash Lampoko,aminnn pesan santri keluarga ada rumah,Negatif,Kualitas Guru
175,PPM AL-Ikhlash Lampoko,sehat ki semua anak semangat tuntut ilmu rindu suasana pesantren membezuk anak ku dulu pesan santri keluarga ada rumah,Negatif,Kualitas Guru
176,PPM AL-Ikhlash Lampoko,aamiin pesan santri keluarga ada rumah,Negatif,Kualitas Guru
177,PPM AL-Ikhlash Lampoko,fira ku pesan santri keluarga ada rumah,Negatif,Kualitas Guru
178,PPM AL-Ikhlash Lampoko,mondok mi naura sehat ki anak cantik pesan santri keluarga ada rumah,Negatif,Kualitas Guru
179,PPM AL-Ikhlash Lampoko,aamiin xd buatin kelas a mts dong pesan santri keluarga ada rumah,Negatif,Kualitas Guru
180,PPM AL-Ikhlash Lampoko,anak soleha pesan santri keluarga ada rumah,Negatif,Kualitas Guru
181,PPM AL-Ikhlash Lampoko,masyaallla sukses nak sholeh sholeha selamat dua santri hebat m akhsay saputra ainun aulia zulkifly telah hasil lang hingga tahap final pilih duta ajar sulawesi barat,Positif,Fasilitas
182,PPM AL-Ikhlash Lampoko,masyaallah sukses sehat selalu ki anak semangat selamat dua santri hebat m akhsay saputra ainun aulia zulkifly telah hasil lang hingga tahap final pilih duta ajar sulawesi barat,Negatif,Fasilitas
183,PPM AL-Ikhlash Lampoko,insya allah aamiin selamat dua santri hebat m akhsay saputra ainun aulia zulkifly telah hasil lang hingga tahap final pilih duta ajar sulawesi barat,Positif,Fasilitas
184,PPM AL-Ikhlash Lampoko,insyaallah aamin selamat dua santri hebat m akhsay saputra ainun aulia zulkifly telah hasil lang hingga tahap final pilih duta ajar sulawesi barat,Netral,Fasilitas
185,PPM AL-Ikhlash Lampoko,masyaallah alhamdulillah selamat dua santri hebat m akhsay saputra ainun aulia zulkifly telah hasil lang hingga tahap final pilih duta ajar sulawesi barat,Positif,Fasilitas
186,PPM AL-Ikhlash Lampoko,masya allah keren congrats buat ananda dua bina selamat dua santri hebat m akhsay saputra ainun aulia zulkifly telah hasil lang hingga tahap final pilih duta ajar sulawesi barat,Positif,Fasilitas
187,PPM AL-Ikhlash Lampoko,masya allah selamat buat dua ananda selamat dua santri hebat m akhsay saputra ainun aulia zulkifly telah hasil lang hingga tahap final pilih duta ajar sulawesi barat,Positif,Fasilitas
188,PPM AL-Ikhlash Lampoko,alhamdulillah selamat dua santri hebat m akhsay saputra ainun aulia zulkifly telah hasil lang hingga tahap final pilih duta ajar sulawesi barat,Positif,Fasilitas
189,PPM AL-Ikhlash Lampoko,barakallahu fiik selamat dua santri hebat m akhsay saputra ainun aulia zulkifly telah hasil lang hingga tahap final pilih duta ajar sulawesi barat,Negatif,Fasilitas
190,PPM AL-Ikhlash Lampoko,kerennn lomba gerak jalan tingkat kabupaten,Positif,Umum
191,PPM AL-Ikhlash Lampoko,masya allah sukses selalu anak sholehah lomba gerak jalan tingkat kabupaten,Positif,Umum
192,PPM AL-Ikhlash Lampoko, lomba gerak jalan tingkat kabupaten,Positif,Umum
193,PPM AL-Ikhlash Lampoko,masyaa allah hebat sukses selalu anak sholehah lomba gerak jalan tingkat kabupaten,Positif,Umum
194,PPM AL-Ikhlash Lampoko,masya allah lomba gerak jalan tingkat kabupaten,Positif,Umum
195,PPM AL-Ikhlash Lampoko,sukses selalu anak syg lomba gerak jalan tingkat kabupaten,Positif,Umum
196,PPM AL-Ikhlash Lampoko,alhamdulillah detik detik smps al ikhlash juara ajang lomba gerak jalan tingkat smp mts,Positif,Umum
