no,nama,kalimat,tema_postingan,ponpes,sentiment_class,sentiment_score,aspek_manual,text_for_rnn
11,Nur Azizah,masyaAllah....,"Peluang Beasiswa ke Tunisia bagi Santri Al-Ikhlash Lampoko, Sulawesi Barat",PPM AL-Ikhlash Lampoko,Positive,6.0,Motivasi/Spiritual,"masyaAllah.... Peluang Beasiswa ke Tunisia bagi Santri Al-Ikhlash Lampoko, Sulawesi Barat"
12,Muhammad Zabur,Jenjang pendidikannya apa saja..,"Peluang Beasiswa ke Tunisia bagi Santri Al-Ikhlash Lampoko, Sulawesi Barat",PPM AL-Ikhlash Lampoko,Positive,15.0,Motivasi/Spiritual,"Jenjang pendidikannya apa saja.. Peluang Beasiswa ke Tunisia bagi Santri Al-Ikhlash Lampoko, Sulawesi Barat"
13,Nurhaida Mulda,Masyaallah,"Peluang Beasiswa ke Tunisia bagi Santri Al-Ikhlash Lampoko, Sulawesi Barat",PPM AL-Ikhlash Lampoko,Positive,6.0,Motivasi/Spiritual,"Masyaallah Peluang Beasiswa ke Tunisia bagi Santri Al-Ikhlash Lampoko, Sulawesi Barat"
14,Rahmaniah,Masyaallah,"Peluang Beasiswa ke Tunisia bagi Santri Al-Ikhlash Lampoko, Sulawesi Barat",PPM AL-Ikhlash Lampoko,Positive,6.0,Motivasi/Spiritual,"Masyaallah Peluang Beasiswa ke Tunisia bagi Santri Al-Ikhlash Lampoko, Sulawesi Barat"
15,Tenriware,Sayang seribu sayang AnandaQU .. semoga lebih meningkat bahasa arabnya 🙈🙈🙏,"Peluang Beasiswa ke Tunisia bagi Santri Al-Ikhlash Lampoko, Sulawesi Barat",PPM AL-Ikhlash Lampoko,Positive,24.0,Motivasi/Spiritual,"Sayang seribu sayang AnandaQU .. semoga lebih meningkat bahasa arabnya 🙈🙈🙏 Peluang Beasiswa ke Tunisia bagi Santri Al-Ikhlash Lampoko, Sulawesi Barat"
16,Ratna,Masyaallah,"Peluang Beasiswa ke Tunisia bagi Santri Al-Ikhlash Lampoko, Sulawesi Barat",PPM AL-Ikhlash Lampoko,Positive,6.0,Motivasi/Spiritual,"Masyaallah Peluang Beasiswa ke Tunisia bagi Santri Al-Ikhlash Lampoko, Sulawesi Barat"
17,Asharan Arif,"Masya Allah luar biasa ustad, semoga berkah aamiin......","Peluang Beasiswa ke Tunisia bagi Santri Al-Ikhlash Lampoko, Sulawesi Barat",PPM AL-Ikhlash Lampoko,Positive,24.0,Motivasi/Spiritual,"Masya Allah luar biasa ustad, semoga berkah aamiin...... Peluang Beasiswa ke Tunisia bagi Santri Al-Ikhlash Lampoko, Sulawesi Barat"
18,Paud Tigaserangkai,Semangat & sukses nak arya. Aamiin,Ananda Raydarya Shabrafif akan melaksanakan Tasmi' Al-Qur'an pada pukul 08.00 WITA di Pondok Pesantren Modern Al-Ikhlash.,PPM AL-Ikhlash Lampoko,Positive,18.0,Lingkungan,Semangat & sukses nak arya. Aamiin Ananda Raydarya Shabrafif akan melaksanakan Tasmi' Al-Qur'an pada pukul 08.00 WITA di Pondok Pesantren Modern Al-Ikhlash.
19,Yanti Fatma,Selamat nak...semoga amanah...🥰,"Alhamdulillah, Selamat kepada Lubnah Maysuri Asrafat! sebagai Ketua OSPI Putri Periode 2025/2026!",PPM AL-Ikhlash Lampoko,Positive,21.0,Umum,"Selamat nak...semoga amanah...🥰 Alhamdulillah, Selamat kepada Lubnah Maysuri Asrafat! sebagai Ketua OSPI Putri Periode 2025/2026!"
20,Nurjati Husain Jati,Alhamdulillah selamat bertugas nak,"Alhamdulillah, Selamat kepada Lubnah Maysuri Asrafat! sebagai Ketua OSPI Putri Periode 2025/2026!",PPM AL-Ikhlash Lampoko,Positive,21.0,Umum,"Alhamdulillah selamat bertugas nak Alhamdulillah, Selamat kepada Lubnah Maysuri Asrafat! sebagai Ketua OSPI Putri Periode 2025/2026!"
21,Jalaluddin Hamid,Mantap terpilih secara pemilu jg 😁😁,"Alhamdulillah, Selamat kepada Lubnah Maysuri Asrafat! sebagai Ketua OSPI Putri Periode 2025/2026!",PPM AL-Ikhlash Lampoko,Positive,17.0,Umum,"Mantap terpilih secara pemilu jg 😁😁 Alhamdulillah, Selamat kepada Lubnah Maysuri Asrafat! sebagai Ketua OSPI Putri Periode 2025/2026!"
22,Muhammad Syibli,Selamat nak lubnah maysuri saya doakan untuk selalu panjang umur,"Alhamdulillah, Selamat kepada Lubnah Maysuri Asrafat! sebagai Ketua OSPI Putri Periode 2025/2026!",PPM AL-Ikhlash Lampoko,Positive,34.0,Umum,"Selamat nak lubnah maysuri saya doakan untuk selalu panjang umur Alhamdulillah, Selamat kepada Lubnah Maysuri Asrafat! sebagai Ketua OSPI Putri Periode 2025/2026!"
23,Yanti Fatma,Selamat Nak Muslim terpilih jadi Ketua OSPI Tahun 2025🤝👍🏻 Rangkul semua teman-temanTa/saudaraTa nak biar mereka Bangga jadi bagian dari Alumni Pondok Pesantren Modern Al-Ikhlash 👍🏻💪🏻,"Alhamdulillah, Selamat kepada Muslim Santri Kelas XI Merdeka 3 sebagai Ketua OSPI Putra Periode 2025/2026!",PPM AL-Ikhlash Lampoko,Positive,51.0,Kualitas Guru,"Selamat Nak Muslim terpilih jadi Ketua OSPI Tahun 2025🤝👍🏻 Rangkul semua teman-temanTa/saudaraTa nak biar mereka Bangga jadi bagian dari Alumni Pondok Pesantren Modern Al-Ikhlash 👍🏻💪🏻 Alhamdulillah, Selamat kepada Muslim Santri Kelas XI Merdeka 3 sebagai Ketua OSPI Putra Periode 2025/2026!"
24,Muhammad Syibli,Selamat ya atas nama muslim ketua ospi putra,"Alhamdulillah, Selamat kepada Muslim Santri Kelas XI Merdeka 3 sebagai Ketua OSPI Putra Periode 2025/2026!",PPM AL-Ikhlash Lampoko,Positive,28.0,Kualitas Guru,"Selamat ya atas nama muslim ketua ospi putra Alhamdulillah, Selamat kepada Muslim Santri Kelas XI Merdeka 3 sebagai Ketua OSPI Putra Periode 2025/2026!"
25,Muhammad Syibli,Saya bangga sekali dengan teman di pondok pesantren modern al ikhlas ❤️❤️❤️,"Alhamdulillah, Selamat kepada Muslim Santri Kelas XI Merdeka 3 sebagai Ketua OSPI Putra Periode 2025/2026!",PPM AL-Ikhlash Lampoko,Positive,30.0,Kualitas Guru,"Saya bangga sekali dengan teman di pondok pesantren modern al ikhlas ❤️❤️❤️ Alhamdulillah, Selamat kepada Muslim Santri Kelas XI Merdeka 3 sebagai Ketua OSPI Putra Periode 2025/2026!"
26,Wahdi Windi,"Selamat Nak Muslim terpilih jadi Ketua OSPI Tahun 2025🤝👍🏻_x000D_
Rangkul semua teman-temanTa/saudaraTa nak biar mereka Bangga jadi bagian dari Alumni  Pondok Pesantren Modern Al-Ikhlash 👍🏻💪🏻","Alhamdulillah, Selamat kepada Muslim Santri Kelas XI Merdeka 3 sebagai Ketua OSPI Putra Periode 2025/2026!",PPM AL-Ikhlash Lampoko,Positive,51.0,Kualitas Guru,"Selamat Nak Muslim terpilih jadi Ketua OSPI Tahun 2025🤝👍🏻_x000D_
Rangkul semua teman-temanTa/saudaraTa nak biar mereka Bangga jadi bagian dari Alumni  Pondok Pesantren Modern Al-Ikhlash 👍🏻💪🏻 Alhamdulillah, Selamat kepada Muslim Santri Kelas XI Merdeka 3 sebagai Ketua OSPI Putra Periode 2025/2026!"
27,Nur Aliyah,Selamat nak muslim..semoga berkah ..amanah dalam menjalankan tugas..🙏,"Alhamdulillah, Selamat kepada Muslim Santri Kelas XI Merdeka 3 sebagai Ketua OSPI Putra Periode 2025/2026!",PPM AL-Ikhlash Lampoko,Positive,35.0,Kualitas Guru,"Selamat nak muslim..semoga berkah ..amanah dalam menjalankan tugas..🙏 Alhamdulillah, Selamat kepada Muslim Santri Kelas XI Merdeka 3 sebagai Ketua OSPI Putra Periode 2025/2026!"
28,Muhammad Syibli,Assalamualaikum warahmatullahi wabarakatu Untuk persembahan dari pondok pesantren modern al ikhlas saya doakan untuk kalian menjadi orang yang baik dan sukses,[PEMILIHAN KETUA OSPI PUTRI],PPM AL-Ikhlash Lampoko,Positive,35.0,Pembinaan Karakter,Assalamualaikum warahmatullahi wabarakatu Untuk persembahan dari pondok pesantren modern al ikhlas saya doakan untuk kalian menjadi orang yang baik dan sukses [PEMILIHAN KETUA OSPI PUTRI]
29,اسلم مردىن,Sukses selalu dik,[PEMILIHAN KETUA OSPI PUTRI],PPM AL-Ikhlash Lampoko,Positive,5.0,Sosial,Sukses selalu dik [PEMILIHAN KETUA OSPI PUTRI]
30,Rahmawaty Mansyur,Seht sllu ank santri bersma pembina,[PEMILIHAN KETUA OSPI PUTRI],PPM AL-Ikhlash Lampoko,Positive,2.0,Sosial,Seht sllu ank santri bersma pembina [PEMILIHAN KETUA OSPI PUTRI]
31,Nengsih Ar,"MasyaAllah, smoga dimudahkan & dilancarkan nak🤲🏻🤗",Ananda RAfli Hardiansyah akan melaksanakan Tasmi' Al-Qur'an pada pukul 16.00 WITA di Pondok Pesantren Modern Al-Ikhlash.,PPM AL-Ikhlash Lampoko,Positive,19.0,Lingkungan,"MasyaAllah, smoga dimudahkan & dilancarkan nak🤲🏻🤗 Ananda RAfli Hardiansyah akan melaksanakan Tasmi' Al-Qur'an pada pukul 16.00 WITA di Pondok Pesantren Modern Al-Ikhlash."
32,Nurafni Alimuchtar,MaasyaAllah tabarakallah .....semoga Istiqomah nak 🤲🤲🤲🤗🤗🤗,Ananda Farham akan melaksanakan Tasmi' Al-Qur'an pada pukul 16.00 WITA di Pondok Pesantren Modern Al-Ikhlash.,PPM AL-Ikhlash Lampoko,Positive,9.0,Lingkungan,MaasyaAllah tabarakallah .....semoga Istiqomah nak 🤲🤲🤲🤗🤗🤗 Ananda Farham akan melaksanakan Tasmi' Al-Qur'an pada pukul 16.00 WITA di Pondok Pesantren Modern Al-Ikhlash.
33,Nur Azizah,"masyaAllah nanda Farhan,semoga ttp istiqomah  dan tembus 30 jus 🤲🏻🤲🏻",Ananda Farham akan melaksanakan Tasmi' Al-Qur'an pada pukul 16.00 WITA di Pondok Pesantren Modern Al-Ikhlash.,PPM AL-Ikhlash Lampoko,Positive,12.0,Lingkungan,"masyaAllah nanda Farhan,semoga ttp istiqomah  dan tembus 30 jus 🤲🏻🤲🏻 Ananda Farham akan melaksanakan Tasmi' Al-Qur'an pada pukul 16.00 WITA di Pondok Pesantren Modern Al-Ikhlash."
34,Yanhe Betet,"Masya Allah.. _x000D_
Syukron ustadz🥺🥺_x000D_
Jdi nangis liat video ini🥲🥲_x000D_
Sehat2q semua anak2 soleh dan soleha😇😇",Selamat Hari Ibu!,PPM AL-Ikhlash Lampoko,Positive,27.0,Umum,"Masya Allah.. _x000D_
Syukron ustadz🥺🥺_x000D_
Jdi nangis liat video ini🥲🥲_x000D_
Sehat2q semua anak2 soleh dan soleha😇😇 Selamat Hari Ibu!"
35,Madinamadiara,"Masya Allah sehat2 semua Nak_x000D_
Alhamdulillah",Selamat Hari Ibu!,PPM AL-Ikhlash Lampoko,Positive,20.0,Umum,"Masya Allah sehat2 semua Nak_x000D_
Alhamdulillah Selamat Hari Ibu!"
36,Masna Wati,"MasyaAllah terimakasih ustadz , sehat selalu bersama santri dan santriwati nya 🤲🏻🥰",Selamat Hari Ibu!,PPM AL-Ikhlash Lampoko,Positive,21.0,Akademik,"MasyaAllah terimakasih ustadz , sehat selalu bersama santri dan santriwati nya 🤲🏻🥰 Selamat Hari Ibu!"
37,Nursiah Asrar,"Masya Allah ada Amma yoyo SMG sehat""sll",Selamat Hari Ibu!,PPM AL-Ikhlash Lampoko,Positive,15.0,Umum,"Masya Allah ada Amma yoyo SMG sehat""sll Selamat Hari Ibu!"
38,Rahmawaty Mansyur,Slmt berlibur nk. Smoga sht kembli nnti ke pondok.,SANTRI PPM AL-IKHLASH TERIMA RAPOR DAN KEMBALI KE RUMAH,PPM AL-Ikhlash Lampoko,Positive,8.0,Pembinaan Karakter,Slmt berlibur nk. Smoga sht kembli nnti ke pondok. SANTRI PPM AL-IKHLASH TERIMA RAPOR DAN KEMBALI KE RUMAH
39,Muhammad Syibli,Selamat berlibur nk semoga sht selalu ki kembali ke pondok pesantren modern al ikhlas,,PPM AL-Ikhlash Lampoko,Positive,16.0,Pembinaan Karakter,Selamat berlibur nk semoga sht selalu ki kembali ke pondok pesantren modern al ikhlas 
40,Yasin,Semoga sukses semuax yyasanx tambah maju AamiinYRA,PEMILIHAN DUTA BAHASA DAN PENUTUPAN FESTIVAL MAHLUWA 2024/2025,PPM AL-Ikhlash Lampoko,Positive,15.0,Pembinaan Karakter,Semoga sukses semuax yyasanx tambah maju AamiinYRA PEMILIHAN DUTA BAHASA DAN PENUTUPAN FESTIVAL MAHLUWA 2024/2025
41,Paud Tigaserangkai,"Terima kasih ustaz & ustazah ppm Al-Ikhlas Lampoko, telah memberi ilmu kpd anak2 kami, teruslah bergerak maju mempersiapkan putra & putri km yg beriman, berakhlak mulia . Aamiin",Dokumentasi Lomba Drama!,PPM AL-Ikhlash Lampoko,Positive,40.0,Akademik,"Terima kasih ustaz & ustazah ppm Al-Ikhlas Lampoko, telah memberi ilmu kpd anak2 kami, teruslah bergerak maju mempersiapkan putra & putri km yg beriman, berakhlak mulia . Aamiin Dokumentasi Lomba Drama!"
42,Nur Aliyah,Sehat n sukses semuanya anak soleh,"Dokumentasi Lomba Volleyball Putra, ",PPM AL-Ikhlash Lampoko,Positive,14.0,Pembinaan Karakter,"Sehat n sukses semuanya anak soleh Dokumentasi Lomba Volleyball Putra, "
43,Rahmawaty Mansyur,Alhamdulillah semoga pembina pembina serta ank ank santrinya sehat sllu. Sy orang tua santri,"Rapat Evaluasi Bulanan,",PPM AL-Ikhlash Lampoko,Positive,22.0,Umum,"Alhamdulillah semoga pembina pembina serta ank ank santrinya sehat sllu. Sy orang tua santri Rapat Evaluasi Bulanan,"
44,Faky Elfata,بالتوفيق والنجاح.🤲😇😇,PONDOK PESANTREN MODERN AL-IKHLASH LAMPOKO LEPAS SANTRI ALUMNI 2024 YANG LULUS KE AL-AZHAR MESIR,PPM AL-Ikhlash Lampoko,Positive,10.0,Akademik,بالتوفيق والنجاح.🤲😇😇 PONDOK PESANTREN MODERN AL-IKHLASH LAMPOKO LEPAS SANTRI ALUMNI 2024 YANG LULUS KE AL-AZHAR MESIR
45,Karmila Fahisillah,"Masya Allah... selamat buat ananda Fatur dan Reza, semoga sukses selalu🙏🙏🤲🤲",PONDOK PESANTREN MODERN AL-IKHLASH LAMPOKO LEPAS SANTRI ALUMNI 2024 YANG LULUS KE AL-AZHAR MESIR,PPM AL-Ikhlash Lampoko,Positive,25.0,Akademik,"Masya Allah... selamat buat ananda Fatur dan Reza, semoga sukses selalu🙏🙏🤲🤲 PONDOK PESANTREN MODERN AL-IKHLASH LAMPOKO LEPAS SANTRI ALUMNI 2024 YANG LULUS KE AL-AZHAR MESIR"
46,Rahmawaty Mansyur,Masya allah. Semoga yg lainnya bsa,PONDOK PESANTREN MODERN AL-IKHLASH LAMPOKO LEPAS SANTRI ALUMNI 2024 YANG LULUS KE AL-AZHAR MESIR,PPM AL-Ikhlash Lampoko,Positive,20.0,Akademik,Masya allah. Semoga yg lainnya bsa PONDOK PESANTREN MODERN AL-IKHLASH LAMPOKO LEPAS SANTRI ALUMNI 2024 YANG LULUS KE AL-AZHAR MESIR
47,Nur Hayati Hasil,"Selamat hari guru untuk seluruh guru, guruku, gurumu, guru kita semua. Berkat bimbingan mereka hari ini kami berkesempatan membersamai ustads dan ustadzah untuk mendampingi santri/santriwati di Pondok Pesantren Modern Al-Ikhlash, semoga bernilai ibadah disisi Allah swt. serta senantiasa melimpahkan Rahmat dan hidayahnya untuk kita semua 🤲🤲🤲",SANTRI PPM AL-IKHLASH GELAR UPACARA PERINGATAN HARI GURU NASIONAL 2024,PPM AL-Ikhlash Lampoko,Positive,62.0,Akademik,"Selamat hari guru untuk seluruh guru, guruku, gurumu, guru kita semua. Berkat bimbingan mereka hari ini kami berkesempatan membersamai ustads dan ustadzah untuk mendampingi santri/santriwati di Pondok Pesantren Modern Al-Ikhlash, semoga bernilai ibadah disisi Allah swt. serta senantiasa melimpahkan Rahmat dan hidayahnya untuk kita semua 🤲🤲🤲 SANTRI PPM AL-IKHLASH GELAR UPACARA PERINGATAN HARI GURU NASIONAL 2024"
48,Paud Tigaserangkai,"Terima kasih guru - guru hebat PPM Al-ikhlas Lampoko, Jasamu tiada tara. Semoga sehat selalu,panjang umur, dan penuh keberhan .Aamiin",SELAMAT HARI GURU NASIONAL TAHUN 2024.,PPM AL-Ikhlash Lampoko,Positive,51.0,Akademik,"Terima kasih guru - guru hebat PPM Al-ikhlas Lampoko, Jasamu tiada tara. Semoga sehat selalu,panjang umur, dan penuh keberhan .Aamiin SELAMAT HARI GURU NASIONAL TAHUN 2024."
49,Arifin Nurdin,Selamat dan sukses ya,Dzaka Al-Karim Dhiaulhaq kembali berhasil merebut medali emas di kelas U-52 putra pada turnamen Taekwondo Kemenpora Cup Palu 2024.,PPM AL-Ikhlash Lampoko,Positive,22.0,Fasilitas,Selamat dan sukses ya Dzaka Al-Karim Dhiaulhaq kembali berhasil merebut medali emas di kelas U-52 putra pada turnamen Taekwondo Kemenpora Cup Palu 2024.
50,Sudirman Man'd Art Samual,Terima kasih atas support dan doa para ustadz di pondok 🙏,Dzaka Al-Karim Dhiaulhaq kembali berhasil merebut medali emas di kelas U-52 putra pada turnamen Taekwondo Kemenpora Cup Palu 2024.,PPM AL-Ikhlash Lampoko,Positive,40.0,Fasilitas,Terima kasih atas support dan doa para ustadz di pondok 🙏 Dzaka Al-Karim Dhiaulhaq kembali berhasil merebut medali emas di kelas U-52 putra pada turnamen Taekwondo Kemenpora Cup Palu 2024.
51,Ridho TO Penamula,"Alhamdulillah, Luar Biasa NANDA 🔥🔥💪💪",Dzaka Al-Karim Dhiaulhaq kembali berhasil merebut medali emas di kelas U-52 putra pada turnamen Taekwondo Kemenpora Cup Palu 2024.,PPM AL-Ikhlash Lampoko,Positive,25.0,Fasilitas,"Alhamdulillah, Luar Biasa NANDA 🔥🔥💪💪 Dzaka Al-Karim Dhiaulhaq kembali berhasil merebut medali emas di kelas U-52 putra pada turnamen Taekwondo Kemenpora Cup Palu 2024."
52,Bahar Lallo,Anak nya kak Ridwan Samual ini ee? Saluut nak... Semoga semakin sukses kedepannya 👏👏👏,Dzaka Al-Karim Dhiaulhaq kembali berhasil merebut medali emas di kelas U-52 putra pada turnamen Taekwondo Kemenpora Cup Palu 2024.,PPM AL-Ikhlash Lampoko,Positive,23.0,Fasilitas,Anak nya kak Ridwan Samual ini ee? Saluut nak... Semoga semakin sukses kedepannya 👏👏👏 Dzaka Al-Karim Dhiaulhaq kembali berhasil merebut medali emas di kelas U-52 putra pada turnamen Taekwondo Kemenpora Cup Palu 2024.
53,Paud Tigaserangkai,"MasyaAllah, selamat yach nak semoga lebih baik kedepannya 😊👍",Dzaka Al-Karim Dhiaulhaq kembali berhasil merebut medali emas di kelas U-52 putra pada turnamen Taekwondo Kemenpora Cup Palu 2024.,PPM AL-Ikhlash Lampoko,Positive,24.0,Fasilitas,"MasyaAllah, selamat yach nak semoga lebih baik kedepannya 😊👍 Dzaka Al-Karim Dhiaulhaq kembali berhasil merebut medali emas di kelas U-52 putra pada turnamen Taekwondo Kemenpora Cup Palu 2024."
54,Syafira,Selamat nak & semangat💪💪💪,Dzaka Al-Karim Dhiaulhaq kembali berhasil merebut medali emas di kelas U-52 putra pada turnamen Taekwondo Kemenpora Cup Palu 2024.,PPM AL-Ikhlash Lampoko,Positive,24.0,Fasilitas,Selamat nak & semangat💪💪💪 Dzaka Al-Karim Dhiaulhaq kembali berhasil merebut medali emas di kelas U-52 putra pada turnamen Taekwondo Kemenpora Cup Palu 2024.
55,Parran Surakan,Beda rangking beda kelas...,PELANTIKAN BANTARA JENDERAL SUDIRMAN,PPM AL-Ikhlash Lampoko,Positive,10.0,Kegiatan Pondok,Beda rangking beda kelas... PELANTIKAN BANTARA JENDERAL SUDIRMAN
56,Ramlah Bahri,"Syukur Alhamdulillah, semangat terus.",Ainun Aulia Zulkifli mendapatkan Gelar Best Intelegensia Duta Pelajar Sulawesi Barat Tahun 2024,PPM AL-Ikhlash Lampoko,Positive,25.0,Umum,"Syukur Alhamdulillah, semangat terus. Ainun Aulia Zulkifli mendapatkan Gelar Best Intelegensia Duta Pelajar Sulawesi Barat Tahun 2024"
57,Nursiah Dahlan,"Alhamdulillah, slamat Ats prestasix dn sukses slalu",Muh. Akhsay Saputra atas prestasinya meraih Juara 1 dan terpilih menjadi Duta Pelajar Sulawesi Barat Tahun 2024.,PPM AL-Ikhlash Lampoko,Positive,23.0,Pembinaan Karakter,"Alhamdulillah, slamat Ats prestasix dn sukses slalu Muh. Akhsay Saputra atas prestasinya meraih Juara 1 dan terpilih menjadi Duta Pelajar Sulawesi Barat Tahun 2024."
58,Lisa Ummi Khalis,Selamat Nanda Akhsay. Selamat juga buat PPM Al-Ikhlas Lampoko,,PPM AL-Ikhlash Lampoko,Positive,15.0,Pembinaan Karakter,Selamat Nanda Akhsay. Selamat juga buat PPM Al-Ikhlas Lampoko 
59,Paud Tigaserangkai,"MasyaAllah, selamat ya nak",,PPM AL-Ikhlash Lampoko,Positive,5.0,Pembinaan Karakter,"MasyaAllah, selamat ya nak "
60,Nurdaris Prawira Negara,Masya Allah..sukses sllu anak2 sholeh dan sholeha...,Momen Pemberian Hadiah Kepada Santri PPM AL-IKHLASH lampoko yang juara di festival anak sholeh-sholehah tingkat SMP/MTS SE-Polewali Mandar di UPTD SMAN 1 WONOMULYO.,PPM AL-Ikhlash Lampoko,Positive,26.0,Pembinaan Karakter,Masya Allah..sukses sllu anak2 sholeh dan sholeha... Momen Pemberian Hadiah Kepada Santri PPM AL-IKHLASH lampoko yang juara di festival anak sholeh-sholehah tingkat SMP/MTS SE-Polewali Mandar di UPTD SMAN 1 WONOMULYO.
61,Endy Park Sang Hyun,"Masya Allah..._x000D_
Titip Salam Buat Ustadz Said..._x000D_
Semoga Sehat selalu 🤲 Aamiin",[PENUTUPAN KEJUARAAN PENCAK SILAT ANTAR SANTRI DI PPM AL-IKHLASH],PPM AL-Ikhlash Lampoko,Positive,19.0,Pembinaan Karakter,"Masya Allah..._x000D_
Titip Salam Buat Ustadz Said..._x000D_
Semoga Sehat selalu 🤲 Aamiin [PENUTUPAN KEJUARAAN PENCAK SILAT ANTAR SANTRI DI PPM AL-IKHLASH]"
