no,ponpes,text_combined,sentimen_lexicon,aspek_manual
329,PPM AL-Ikhlash Lampoko,Kpn uji pasx nilai akhir semester genap tahun ajar,Negatif,Fasilitas
122,PPM AL-Ikhlash Lampoko,Mana aura tanding putri tanding bela diri live,Positif,Kualitas Guru
375,Ponpes Syekh Hasan Yamani,giat pondok tidak dua sulbar mantap tuh mondok seru banget soal giat banyak selalu bareng,Negatif,Kegiatan Pondok
648,Ponpes Salafiyah Parappe, laksana uji thobaqah madrasah ihya ulumuddin tahap iii uji tulis selenggara tanggal februari,Positif,Fasilitas
405,Ponpes Syekh Hasan Yamani,amien kelas a kmi muadalah putra,Negatif,Sosial
"541,Ponpes Syekh Hasan Yamani,""Alhamdulillah, dalam rangka Hari Merdeka, para peserta didik dari pondok syech hasan yamani mengikuti lomba gerak jalan kec campalagian"",Positif,Kegiatan Pondok"
695,Ponpes Salafiyah Parappe,allah moga anak mudah jawab soal beri hari uji alih thobaqoh tahap ii madrasah ihya ulumiddin,Negatif,Fasilitas
795,Ponpes Salafiyah Parappe,Alhamdulillah sehatki semua nak antara adam putri galeri buka ta aruf - Santriwati Baru di pondok salafiyah parappe putri,Negatif,Kegiatan Pondok
218,PPM AL-Ikhlash Lampoko,masya allah ppm al ikhlas lampoko alhamdulilah smps al ikhlash lampoko juara ajang lomba gerak jalan,Positif,Umum
548,Ponpes Syekh Hasan Yamani,Liput vidio para siswa baru ziarah ke makam oebdiri syech hasan yamani,Negatif,Kegiatan Pondok
254,PPM AL-Ikhlash Lampoko,Alhamdulillah selamat smps al ikhlash lampoko juara 1 lomba gerak jalan,Positif,Umum
265,PPM AL-Ikhlash Lampoko,haru dn bangga lihat semangaat anak ppm al ikhlas xg luar biasa suasana upacara agustus,Positif,Umum
"532,Ponpes Syekh Hasan Yamani,""Barakallah ustadz fahri, semoga sehat selalu dan panjang umur, selamat ulang tahun untuk ustadz fahri tajuddin"",Positif,Kegiatan Pondok"
"470,Ponpes Syekh Hasan Yamani,""Masyaallah semangat uji nak sholeh, moga uji hafalan lancar uji tuju latih mampu bahasa arab inggris"",Negatif,Prestasi"
133,PPM AL-Ikhlash Lampoko,Anna ki tanding nah tanding putri tanding bela diri antar putri live,Positif,Kualitas Guru
384,Ponpes Syekh Hasan Yamani,masyaallah tabarakallah potret suasana santri buka puasa nisfu sya ban h,Negatif,Kegiatan Pondok
382,Ponpes Syekh Hasan Yamani,Masya allah anak sholeh sehat selalu pondok nak potret suasana alumni buka puasa nisfu sya ban h,Netral,Kegiatan Pondok
345,Ponpes Syekh Hasan Yamani,Masyaallah tabarakallah moga anak anak semua sehat ada alif imam zaki kelas a selamat jalan uji nak moga kamu dapat hasil yang baik aamin,Negatif,Kegiatan Pondok
799,Ponpes Salafiyah Parappe,masya allahh musyawarah kitab fathul qarib antar santriwati thobaqah fathul qorib fathul mu in pdf ulya pdf wustho,Negatif,Motivasi/Spiritual
232,PPM AL-Ikhlash Lampoko,Alhamdulillah smps al ikhlash lampoko berhasil menjadi juara pertama dalam perlombaan gerak jalan,Positif,Umum
"357,Ponpes Syekh Hasan Yamani,""Mohon maaf lahir dan bathil ustadz, selamat hari raya idul fitri"",Positif,Prestasi"
521,Ponpes Syekh Hasan Yamani,Allah slmt baut syahruddin sukses slllu nak ganteng mtq nasional kategori tilawah anak anak syahruddin,Negatif,Kegiatan Pondok
436,Ponpes Syekh Hasan Yamani, tinggal anak santriwati alumni salihah puspawati,Negatif,Pembinaan Karakter
577,Ponpes Syekh Hasan Yamani,bisa ki hadir ee silaturrahmi bagi raport semester ganjil tahun ajar pondok pesantren syekh hasan yamani,Negatif,Kegiatan Pondok
"437,Ponpes Syekh Hasan Yamani,""Innalillahi wa inna ilaihi rojiun, anak-anak yatim alumni salihah puspawati tinggal"",Negatif,Pembinaan Karakter"
318,PPM AL-Ikhlash Lampoko,allahummarhamna bil qur an live tasmi putri,Positif,Kualitas Guru
514,Ponpes Syekh Hasan Yamani,subhanallah selamat sukses buat ponpes shy mtq nasional kategori tilawah anak anak syahruddin,Netral,Kegiatan Pondok
523,Ponpes Syekh Hasan Yamani,maasyaaallah tabbarakallah mtq nasional kategori tilawah anak anak syahruddin,Negatif,Kegiatan Pondok
401,Ponpes Syekh Hasan Yamani,Moga selalu istiqomah anak anak soleh kelas a di kmi muadalah putra,Negatif,Kegiatan Pondok
210,PPM AL-Ikhlash Lampoko,Alhamdulilah selamat atas prestasi yang telah di capai pondok al ikhlas lampoko khususnya anak anak sholehah tdk kenal lelah berprestasi di tingkat smp dan mts salut para alumni smp al ikhlash raih juara 1 lomba senam tingkat smp dan mts,Negatif,Umum
787,Ponpes Salafiyah Parappe,kak hikmaa sehat selalu tempat baruta ustadzah moment haru pisah salah satu asatidzah pondok pesantren salafiyah parappe putri ustadzah nur hikmah syahdan tempat tugas baru nya,Negatif,Kegiatan Pondok
86,PPM AL-Ikhlash Lampoko,Liat ka nak tanding antara putri - Pencakur Salju,Positif,Kualitas Guru
478,Ponpes Syekh Hasan Yamani,alhamdulillah masyaalloh tabarrokalloh view atas udara acara giat apresiasi seni santri panggung gembira,Negatif,Lingkungan
75,PPM AL-Ikhlash Lampoko,sukses selalu ki nak moga capai hasil lbh baik doa mama selalu serta nak final pilih duta ajar sulawesi barat tahun,Negatif,Fasilitas
"209,PPM AL-Ikhlash Lampoko,""Alhamdulillah selamat buat para bina pondok, moga depan lebih lihat potensi ada pondok, para bina pondok, para bina pondok, para bina pondok, para bina pondok, para bina, para bina pondok, para bina, para bina, para bina, para bina, para bina, para bina, para bina, para bina,"",Positif,Umum"
113,PPM AL-Ikhlash Lampoko,semangatq anak soleha xd jaga sehat tanding pencak silat antar putri live,Positif,Kualitas Guru
182,PPM AL-Ikhlash Lampoko,masyaallah sukses sehat selalu ki anak semangat selamat dua santri hebat m akhsay saputra ainun aulia zulkifly telah hasil lang hingga tahap final pilih duta ajar sulawesi barat,Negatif,Fasilitas
"302,PPM AL-Ikhlash Lampoko,""Congrats untuk kalian semua, semoga sukses untuk kalian semua, semoga sukses untuk kalian semua, semoga sukses untuk kalian semua, semoga sukses untuk kalian semua, semoga sukses untuk kalian semua,"",Positif,Umum"
137,PPM AL-Ikhlash Lampoko,iya nak semngat terus kalah menang tdk masalah penting alam nya tanding pencak silat antar putri live,Negatif,Kualitas Guru
696,Ponpes Salafiyah Parappe,masya allah hari uji alih thobaqoh tahap ii madrasah ihya ulumiddin,Positif,Fasilitas
203,PPM AL-Ikhlash Lampoko,kereeen masyaa allaah yel yel ppm al ikhlash,Netral,Umum
273,PPM AL-Ikhlash Lampoko,insya allah terus semangat latih dzaka alkarim dhiaulhaq santri ppm al ikhlash lampoko siswa kelas viii b smp telah raih medali emas ajang bal taekwondo,Positif,Umum
143,PPM AL-Ikhlash Lampoko,sdahmi tanding pencak silat antar putri live,Positif,Kualitas Guru
669,Ponpes Salafiyah Parappe,Masya Allah hari raya kita cinta ibu korban kuat ibu terima kasih semua ibu telah memberi cinta perhati korban batas selamat hari ibu,Negatif,Prestasi
7,PPM AL-Ikhlash Lampoko,aamiin xd moga mudah lancar nak zaki alhamdulillah ananda muh dzaki as syafiq laksana tasmi al qur an pukul wita sore pondok pesantren modern al ikhlash,Positif,Umum
323,PPM AL-Ikhlash Lampoko,masya allah moga tambah sukses berkah musyawarah kerja sampai visi misi debat,Positif,Motivasi/Spiritual
499,Ponpes Syekh Hasan Yamani,aamiin berkah jaya selalu pondok pesantren syekh hasan yamani,Positif,Kegiatan Pondok
470,Ponpes Syekh Hasan Yamani,masyaallah semangat uji nak sholeh moga uji hafal lancar uji tuju latih mampu bahasa arab inggris,Negatif,Prestasi
4,PPM AL-Ikhlash Lampoko,semangat anak solehnya ummi d mudah nak d lancar semua amin rabbal al amin alhamdulillah ananda muh dzaki as syafiq laksana tasmi al qur an pukul wita sore pondok pesantren modern al ikhlash,Negatif,Umum
27,PPM AL-Ikhlash Lampoko,selamat nak muslim moga berkah amanah jalan tugas alhamdulillah selamat muslim santri kelas xi merdeka ketua ospi putra periode,Positif,Motivasi/Spiritual
122,PPM AL-Ikhlash Lampoko,mana aura tanding pencak silat antar putri live,Positif,Kualitas Guru
50,PPM AL-Ikhlash Lampoko,terima kasih atas support doa ustadz pondok dzaka al karim dhiaulhaq hasil rebut medali emas kelas u putra turnamen taekwondo kemenpora cup palu,Positif,Fasilitas
768,Ponpes Salafiyah Parappe,Semangat ana solehaku tunjjkn kaliapun apresiasi dengan mengikuti perkembangan jaman tentu koridor benar galeri buka porseni antar parappe putri pondok salafiyah parappe putri tema kompak kompetisi membangun karakter islami,Negatif,Akademik
142,PPM AL-Ikhlash Lampoko,Hah mi tanding antar putri di Pencakur Salju,Positif,Kualitas Guru
54,PPM AL-Ikhlash Lampoko,Selamat datang di palu dzaka al karim dhiaulhaq peraih medali emas kelas u putra di Kejuaraan Taekwondo Kementerian Pemuda dan Olahraga Cup,Positif,Fasilitas
715,Ponpes Salafiyah Parappe,Masya allah anak shaliha ademm lihat uji alih thobaqoh tahap ii ihya ulumiddin uji tulis,Positif,Fasilitas
505,Ponpes Syekh Hasan Yamani,kapan pg pondok denah parkir maulid nabi muhammad saw pp s hasan yamani,Negatif,Motivasi/Spiritual
96,PPM AL-Ikhlash Lampoko,Jika Nur Khalish ikut tanding nak kelas x tanding pendekar antar putri live,Netral,Kualitas Guru
91,PPM AL-Ikhlash Lampoko,nak nnti ku bagi tanding pencak silat antar putri live,Positif,Kualitas Guru
353,Ponpes Syekh Hasan Yamani,Amin Rabb ke Asrama Lingkungan Didik Agama,Negatif,Sosial
533,Ponpes Syekh Hasan Yamani,aamiin selamat ulang tahun ustadz fahri tajuddin,Positif,Kegiatan Pondok
799,Ponpes Salafiyah Parappe,Masya allahh musyawarah kitab fathul qarib antar solehah thobaqoh fathul qorib ulya pdf wustho:,Negatif,Motivasi/Spiritual
596,Ponpes Syekh Hasan Yamani,Iye hubungi akan laksana uji mid semester siswa siswawati izin kunjung tidak lama masa uji sebut,Negatif,Motivasi/Spiritual
664,Ponpes Salafiyah Parappe,moga anak anak selalu beri sehat selamat informasi izin santri tutup,Negatif,Kegiatan Pondok
565,Ponpes Syekh Hasan Yamani,masya allah vibes sya ban versi santri hasan yamani,Positif,Kegiatan Pondok
757,Ponpes Salafiyah Parappe,biasax seniorx beri hukum tdk sesuai lindung anak pondok pesantren salafiyah parappe putri ada giat sosialisasi tema cegah tangan keras satu didik,Negatif,Kegiatan Pondok
215,PPM AL-Ikhlash Lampoko,alhamdulillah alhamdulilah smps al ikhlash lampoko juara ajang lomba gerak jalan,Positif,Umum
681,Ponpes Salafiyah Parappe,Alhamdulillah moga anak anakku lulus tobaqoh lanjut lebih tingkat yang blum lulus lebih giat lagi ajar moga uji tahap ikut lulus galeri umum hasil uji thobaqoh tahap ii,Positif,Fasilitas
650,Ponpes Salafiyah Parappe,masya allah laksana uji thobaqah madrasah ihya ulumuddin tahap iii uji tulis selenggara tanggal februari,Positif,Fasilitas
57,PPM AL-Ikhlash Lampoko,Alhamdulillah slamat atas prestasix dn sukses slalu muh akhsay saputra atas prestasi juara jadi duta ajar south flores tahun,Negatif,Fasilitas
374,Ponpes Syekh Hasan Yamani,bgm cara daftar mondok seru banget soal giat banyak selalu bareng,Negatif,Kegiatan Pondok
"651,Ponpes Salafiyah Parappe,""Moga pelaksanaan uji thobaqoh tahap iii uji tulis selenggara pada bulan februari, lancar dan mudah."",Netral,Fasilitas"
383,Ponpes Syekh Hasan Yamani,Maasya allah potret suasana saat buka puasa nisfu syaban h,Positif,Kegiatan Pondok
580,Ponpes Syekh Hasan Yamani,semangat buat santri santriwati ponpes pondok pesantren syekh hasan yamani xd smoga selalu berkah kreatif aktif amin highlight one night with santri pondok pesantren syekh hasan yamani,Negatif,Kegiatan Pondok
505,Ponpes Syekh Hasan Yamani,Kapan pg pondok denah parkir maulid nabi muhammad saw pp s hasan yamani,Negatif,Motivasi/Spiritual
588,Ponpes Syekh Hasan Yamani,sukses giat istoghosah rangka ingat hari santri nasional pondok pesantren syekh hasan yamani,Negatif,Kegiatan Pondok
455,Ponpes Syekh Hasan Yamani,Alfatiha tinggalkan anak salihah alumni salihah puspawati,Negatif,Pembinaan Karakter
594,Ponpes Syekh Hasan Yamani,Smoga semester ini lancar ananda sll semangat utk mendapatkan hasil muas sehat selalu smua anak phy murojaah al a mmah tolak ukur paham kuasa ajar,Netral,Fasilitas
654,Ponpes Salafiyah Parappe,aamiin semogah jalan lancar laksana uji thobaqah madrasah ihya ulumuddin tahap iii uji tulis selenggara tanggal februari,Positif,Fasilitas
247,PPM AL-Ikhlash Lampoko,Alhamdulilah smps al ikhlash lampoko berhasil meraih juara pertama dalam perlombaan gerak jalan,Positif,Umum
474,Ponpes Syekh Hasan Yamani,maasyaallah tabarakallah moment langka ustadz pagelaran panggung gembirax asa nonton konser luar biasa saluut ponpes syekh hasan yamani lembar sejarah kami ukir lalu rajut sama tegak nilai juang,Negatif,Kegiatan Pondok
12,PPM AL-Ikhlash Lampoko,Apa jenis pendidikan apa yang membuka peluang beasiswa untuk tunisia di al-Ikhlas lampoko s.h.,Negatif,Umum
735,Ponpes Salafiyah Parappe,Allah akan laksana menguji kesalahan thobaqoh tahap ii pada bulan november,Netral,Motivasi/Spiritual
687,Ponpes Salafiyah Parappe,alhamdulillah galeri umum hasil uji thobaqoh tahap ii madrasah ihya ulumiddin putri,Positif,Fasilitas
"696,Ponpes Salafiyah Parappe,""Masya Allah, hari uji coba alih tahap ii pada thobaqoh di ihya ulumiddin"",Positif,Fasilitas"
169,PPM AL-Ikhlash Lampoko,moga allah selalu lindung nak lama pondok tetap sabar ayah ibu selalu doa sayang rasa masuk pondok jadi aku tau,Negatif,Kegiatan Pondok
600,Ponpes Syekh Hasan Yamani,Trima kasih infox ustadz xd selamat juang buat ananda nisrina meylani salsabila amran serta santi santiwati smoga selalu beri mudah setiap langkahx xd sukses buat semua xd amin hubungi akan laksana uji mid semester,Negatif,Motivasi/Spiritual
"549,Ponpes Syekh Hasan Yamani,""Masya Allah sehat selalu adek, adek liput vidio parasan baru ziarah ke makam oebdiri pondok dari syech hasan yamani"",Negatif,Kegiatan Pondok"
180,PPM AL-Ikhlash Lampoko,Anak Soleha pesan Santri Keluarga Ada Rumah,Negatif,Kualitas Guru
"36,PPM AL-Ikhlash Lampoko,""Masyaallah terimakasih ustadz sehat selalu dengan para alumninya, selamat hari ibu,"",Positif,Kegiatan Pondok"
131,PPM AL-Ikhlash Lampoko,Siapa yang menang ustadz tanding tanding antar putri di pentas seni bela diri,Positif,Kualitas Guru
468,Ponpes Syekh Hasan Yamani,semangat terus ajar anak anak soleh moga lancarn smua uji nya nk uji tuju latih mampu bahasa arab inggris,Negatif,Prestasi
755,Ponpes Salafiyah Parappe,Rindu adikq dstu pondok salafiyah parappe putri ada kegiatan sosialisasi tema cegah tangan keras satu mendidik,Negatif,Kegiatan Pondok
653,Ponpes Salafiyah Parappe,: moga lancar ujianx anak aidy arun arifah temanx yang lain aamiin laksana uji thobaqah ihya ulumuddin tahap iii uji tulis selenggara februari,Negatif,Fasilitas
509,Ponpes Syekh Hasan Yamani,masyaallah alhamdulillah berkah dunia akhirat juara qori al quran tingkat nasional,Positif,Prestasi
"336,PPM AL-Ikhlash Lampoko,""Selamat sukses untuk ustadz selamat sukses pimpin pondok intensif al ikhlash lampoko, ust ihsan zainuddin, Lc.D."",Positif,Kegiatan Pondok"
529,Ponpes Syekh Hasan Yamani,Masya allah mtq nasional kategori tilawah anak anak syahruddin,Negatif,Kegiatan Pondok
"646,Ponpes Salafiyah Parappe,""Insyaallah ustazah xd, terimakasih atas informasi yang lancar jemput para putri pondok pesantren buka jemput mulai februari pukul wita"",Negatif,Kegiatan Pondok"
